Timestamps,summer_max,summer_average
00:00:00,0.0,0.0
00:30:00,0.0,0.0
01:00:00,0.0,0.0
01:30:00,0.0,0.0
02:00:00,0.0,0.0
02:30:00,0.0,0.0
03:00:00,0.0,0.0
03:30:00,0.0,0.0
04:00:00,40.714285714285715,0.09179243332644192
04:30:00,140.00000000000003,1.8476500585762514
05:00:00,319.64285714285717,7.845772172834395
05:30:00,801.7142857142858,31.796774860450657
06:00:00,1352.5,86.0917235200882
06:30:00,1810.2857142857144,173.21921301081957
07:00:00,2409.4285714285716,296.9966749362554
07:30:00,2940.714285714286,459.60106126386887
08:00:00,3374.0000000000005,642.6500241196328
08:30:00,3765.0,843.8436186341403
09:00:00,4722.380952380952,1041.3200158500456
09:30:00,5169.04761904762,1254.5609365309083
10:00:00,5748.809523809525,1403.9182516711478
10:30:00,5834.285714285714,1546.5397973950794
11:00:00,6414.761904761905,1696.843084556543
11:30:00,6341.9047619047615,1800.691389290884
12:00:00,7215.476190476191,1878.7646440631233
12:30:00,7174.761904761905,1943.8520949624456
13:00:00,7135.000000000001,1988.6619288815386
13:30:00,7732.380952380954,1995.6388601750357
14:00:00,7062.380952380953,1935.3897388188257
14:30:00,6895.476190476191,1848.9569981393443
15:00:00,6491.428571428572,1751.9354799807038
15:30:00,5889.523809523811,1596.3887740334899
16:00:00,5672.857142857143,1429.4175625387631
16:30:00,4998.809523809524,1246.1670284611673
17:00:00,4385.714285714286,1020.5305113362259
17:30:00,4069.0476190476193,806.7373716490936
18:00:00,3488.095238095238,612.1156019571363
18:30:00,3766.4285714285716,428.02458479774015
19:00:00,2680.2380952380954,289.3729412170079
19:30:00,2531.904761904762,178.37006408931177
20:00:00,1715.4761904761904,95.782492591827
20:30:00,2744.2857142857147,41.582747570808365
21:00:00,317.14285714285717,6.494039004892839
21:30:00,38.57142857142858,0.32595961684239544
22:00:00,0.0,0.0
22:30:00,0.0,0.0
23:00:00,0.0,0.0
23:30:00,0.0,0.0
