Timestamps,winter_max,winter_average
00:00:00,0.0,0.0
00:30:00,0.0,0.0
01:00:00,0.0,0.0
01:30:00,0.0,0.0
02:00:00,0.0,0.0
02:30:00,0.0,0.0
03:00:00,0.0,0.0
03:30:00,0.0,0.0
04:00:00,0.0,0.0
04:30:00,0.0,0.0
05:00:00,0.0,0.0
05:30:00,0.0,0.0
06:00:00,0.0,0.0
06:30:00,14.857142857142858,0.02096322399927713
07:00:00,395.95238095238096,2.748305773922471
07:30:00,1368.5714285714287,22.678383181229474
08:00:00,2210.714285714286,79.76963043281823
08:30:00,2735.47619047619,197.98120538538006
09:00:00,3083.809523809524,348.7519201228872
09:30:00,3474.047619047619,495.49186771482863
10:00:00,3777.3809523809523,658.8373091171932
10:30:00,4554.285714285715,797.3172946598004
11:00:00,5048.571428571428,876.6599198819314
11:30:00,5300.0,934.0527544351071
12:00:00,5388.571428571428,913.8029878618123
12:30:00,5405.714285714286,877.6293936929617
13:00:00,5400.0,813.695220023496
13:30:00,5305.714285714286,747.8183940242765
14:00:00,5071.428571428572,627.1403120387927
14:30:00,4668.571428571428,506.2785608867207
15:00:00,4194.285714285715,354.50918647028703
15:30:00,3554.2857142857147,205.86828709978622
16:00:00,2745.714285714286,105.81630071383387
16:30:00,1765.7142857142858,44.661471040028935
17:00:00,1359.642857142857,13.798590403903495
17:30:00,1115.7142857142858,2.6203277009728603
18:00:00,234.2857142857143,0.3395982048733472
18:30:00,0.0,0.0
19:00:00,0.0,0.0
19:30:00,0.0,0.0
20:00:00,0.0,0.0
20:30:00,0.0,0.0
21:00:00,0.0,0.0
21:30:00,0.0,0.0
22:00:00,0.0,0.0
22:30:00,0.0,0.0
23:00:00,0.0,0.0
23:30:00,0.0,0.0
